,sucursal,nombre,ip,channel,starttime,endtime,diff
175,2221,AGUA DULCE,192.169.25.194,2,2023-04-18 21:42:56,2023-04-18 23:59:00,136.06666666666666
176,2221,AGUA DULCE,192.169.25.194,3,2023-04-18 21:42:45,2023-04-18 23:59:00,136.25
177,2221,AGUA DULCE,192.169.25.194,4,2023-04-18 21:41:14,2023-04-18 23:59:00,137.76666666666668
178,2221,AGUA DULCE,192.169.25.194,5,2023-04-18 21:38:26,2023-04-18 23:59:00,140.56666666666666
179,2219,TEQUISQUIAPAN,192.169.25.162,0,2023-04-18 21:30:04,2023-04-18 23:59:00,148.93333333333334
180,2210,,192.169.55.82,0,2023-04-18 10:07:45,2023-04-18 10:42:14,34.483333333333334
181,2210,,192.169.55.82,1,2023-04-18 10:07:48,2023-04-18 10:42:13,34.416666666666664
182,2210,,192.169.55.82,2,2023-04-18 10:07:38,2023-04-18 10:42:14,34.6
183,2210,,192.169.55.82,3,2023-04-18 10:07:42,2023-04-18 10:42:14,34.53333333333333
184,2210,,192.169.55.82,4,2023-04-18 10:08:13,2023-04-18 10:43:44,35.516666666666666
185,2210,,192.169.55.82,5,2023-04-18 10:07:26,2023-04-18 10:43:14,35.8
186,2207,GUASAVE SINALOA,192.169.30.226,0,2023-04-18 05:00:00,2023-04-18 23:59:00,1139.0
187,2198,JAMILTEPEC MIRAMAR,192.168.244.114,0,2023-04-18 07:00:04,2023-04-18 23:59:00,1018.9333333333333
188,2179,,192.169.47.194,0,2023-04-17 22:59:00,2023-04-18 11:09:58,730.9666666666667
189,2179,,192.169.47.194,1,2023-04-17 22:59:00,2023-04-18 11:09:58,730.9666666666667
190,2179,,192.169.47.194,2,2023-04-17 22:59:00,2023-04-18 11:09:58,730.9666666666667
191,2179,,192.169.47.194,3,2023-04-17 22:59:00,2023-04-18 11:09:57,730.95
192,2179,,192.169.47.194,4,2023-04-17 22:59:00,2023-04-18 11:10:56,731.9333333333333
193,2179,,192.169.47.194,5,2023-04-17 22:59:00,2023-04-18 11:10:56,731.9333333333333
194,2173,EL JOBO,192.169.40.2,0,2023-04-18 07:00:04,2023-04-18 23:59:00,1018.9333333333333
195,2155,BOCHIL CHIAPAS,192.169.24.194,3,2023-04-18 12:16:16,2023-04-18 12:17:23,1.1166666666666667
196,2155,BOCHIL CHIAPAS,192.169.24.194,3,2023-04-18 14:28:19,2023-04-18 14:29:23,1.0666666666666667
197,2125,SANTA CRUZ QUILEHTLA,192.169.22.242,3,2023-04-18 14:29:43,2023-04-18 14:43:14,13.516666666666667
198,2125,SANTA CRUZ QUILEHTLA,192.169.22.242,3,2023-04-18 19:39:44,2023-04-18 20:41:43,61.983333333333334
199,2102,SAN GREGORIO ATZOMPA,192.168.249.2,0,2023-04-17 22:59:00,2023-04-18 13:18:30,859.5
200,2102,SAN GREGORIO ATZOMPA,192.168.249.2,1,2023-04-17 22:59:00,2023-04-18 12:04:22,785.3666666666667
201,2102,SAN GREGORIO ATZOMPA,192.168.249.2,2,2023-04-17 22:59:00,2023-04-18 12:04:21,785.35
202,2102,SAN GREGORIO ATZOMPA,192.168.249.2,3,2023-04-17 22:59:00,2023-04-18 12:05:20,786.3333333333334
203,2102,SAN GREGORIO ATZOMPA,192.168.249.2,4,2023-04-17 22:59:00,2023-04-18 12:04:50,785.8333333333334
204,2102,SAN GREGORIO ATZOMPA,192.168.249.2,5,2023-04-17 22:59:00,2023-04-18 12:04:21,785.35
205,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,0,2023-04-18 14:16:15,2023-04-18 17:58:31,222.26666666666668
206,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,1,2023-04-18 18:16:54,2023-04-18 23:59:00,342.1
207,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,1,2023-04-18 14:16:18,2023-04-18 17:58:31,222.21666666666667
208,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,2,2023-04-18 18:16:48,2023-04-18 23:59:00,342.2
209,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,2,2023-04-18 14:16:12,2023-04-18 17:58:31,222.31666666666666
210,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,3,2023-04-18 18:16:45,2023-04-18 23:59:00,342.25
211,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,3,2023-04-18 14:16:15,2023-04-18 17:59:31,223.26666666666668
212,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,4,2023-04-18 18:16:52,2023-04-18 23:59:00,342.1333333333333
213,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,4,2023-04-18 14:16:17,2023-04-18 17:58:31,222.23333333333332
