
sucursal:347, cameras:10,videos_lost:2 
sucursal:359, cameras:4,videos_lost:6 
sucursal:359, cameras:4,videos_lost:1 
sucursal:360, cameras:4,videos_lost:1 
sucursal:365, cameras:4,videos_lost:0 
sucursal:357, cameras:5,videos_lost:2 
sucursal:347, cameras:10,videos_lost:3 
sucursal:350, cameras:6,videos_lost:6 
sucursal:365, cameras:4,videos_lost:3 
sucursal:360, cameras:4,videos_lost:1 
sucursal:364, cameras:5,videos_lost:5 
sucursal:357, cameras:5,videos_lost:2 
sucursal:360, cameras:4,videos_lost:1 
sucursal:365, cameras:4,videos_lost:2 
sucursal:350, cameras:6,videos_lost:2 
sucursal:347, cameras:10,videos_lost:7 
sucursal:368, cameras:2,videos_lost:4 
sucursal:364, cameras:5,videos_lost:4 
sucursal:368, cameras:2,videos_lost:4 
